game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2023_001,RED-ASV,1,REGULAR SEASON,E2023,RED,ASV,9,3,15,10,7,4,23,9,17,22,3,7,11,5,4,6,4,1,9,10,15,2,58,36,58,15,8,22,54-37,23,62-37,7,26,64-43,28,64-50,25,2,23,1,62-37,0-2
E2023_002,BAR-IST,1,REGULAR SEASON,E2023,BAR,IST,4,2,19,21,16,4,26,9,9,16,9,4,6,4,3,2,6,3,15,6,20,4,45,46,38,36,12,8,15-19,12,27-19,6,15,34-26,16,34-32,17,4,40,5,91-74,9-13
E2023_003,MUN-BER,1,REGULAR SEASON,E2023,MUN,BER,6,11,11,15,20,5,29,3,20,14,9,7,3,6,3,2,7,3,8,4,10,4,47,33,48,20,11,19,33-44,23,44-44,9,4,8-2,6,8-11,17,11,35,19,74-57,33-44
E2023_004,TEL-PAR,1,REGULAR SEASON,E2023,TEL,PAR,13,8,16,20,13,6,19,7,15,19,7,5,8,8,7,4,3,4,18,13,6,12,54,42,24,57,10,31,74-60,34,84-60,8,16,45-28,17,45-36,24,2,34,2,84-60,3-5
E2023_005,VIR-ZAL,1,REGULAR SEASON,E2023,VIR,ZAL,6,4,18,19,11,10,22,8,10,22,5,9,10,5,3,5,4,2,15,6,8,3,43,36,56,26,11,7,10-13,10,21-13,10,35,73-67,39,73-77,15,8,18,5,40-25,2-10
E2023_006,ULK-MIL,1,REGULAR SEASON,E2023,ULK,MIL,12,7,11,9,4,17,23,10,4,31,7,5,13,6,4,1,7,2,8,7,11,7,36,49,68,14,6,8,13-23,10,19-23,10,3,8-8,7,8-18,10,10,27,7,55-45,8-18
E2023_007,PAN-OLY,1,REGULAR SEASON,E2023,PAN,OLY,4,15,12,23,10,9,25,8,7,22,8,11,8,6,6,2,10,3,12,3,17,3,47,31,66,22,9,14,30-29,17,39-29,14,39,74-72,44,74-86,10,13,17,45,39-29,75-88
E2023_008,BAS-MAD,1,REGULAR SEASON,E2023,BAS,MAD,7,15,10,14,20,6,32,8,21,28,6,7,6,3,1,3,3,4,12,6,7,12,39,38,40,39,9,26,56-58,28,65-58,9,10,23-16,11,23-25,7,5,10,13,23-16,29-34
E2023_009,PAM-MCO,1,REGULAR SEASON,E2023,PAM,MCO,2,6,14,14,17,11,24,11,14,18,13,7,8,8,3,2,11,1,5,9,11,2,35,35,42,23,10,12,19-25,15,29-25,9,21,41-38,26,41-47,7,8,40,28,70-63,43-51
E2023_010,BER-BAS,2,REGULAR SEASON,E2023,BER,BAS,10,10,28,20,12,12,21,14,10,25,7,9,14,6,4,8,5,3,9,10,10,9,31,55,50,41,7,30,61-76,33,68-76,13,21,49-51,27,49-64,2,16,2,27,2-0,51-67
E2023_011,IST-MAD,2,REGULAR SEASON,E2023,IST,MAD,15,23,14,23,8,12,19,10,13,28,4,6,6,3,1,6,2,1,12,7,18,4,40,40,70,33,15,8,9-26,10,24-26,12,5,9-14,8,9-26,0,23,0,26,,48-71
E2023_012,MIL-TEL,2,REGULAR SEASON,E2023,MIL,TEL,6,11,14,20,18,16,17,14,10,20,11,7,5,9,3,4,5,5,17,8,14,8,75,15,71,27,8,6,17-20,9,25-20,8,22,59-52,23,59-60,10,9,13,39,37-27,84-93
E2023_013,PAN-MUN,2,REGULAR SEASON,E2023,PAN,MUN,4,10,7,21,9,20,26,14,6,20,12,2,4,6,4,2,6,1,11,1,9,2,59,19,54,17,8,1,2-0,3,10-0,9,38,74-62,40,74-71,16,0,15,0,30-14,
E2023_014,ASV-PAR,2,REGULAR SEASON,E2023,ASV,PAR,6,18,8,21,13,10,21,8,14,28,6,8,6,4,3,1,6,5,5,4,16,2,47,15,53,35,6,28,40-70,29,46-70,13,24,38-55,27,38-68,1,30,5,27,10-9,38-68
E2023_015,MCO-VIR,2,REGULAR SEASON,E2023,MCO,VIR,0,0,14,16,6,16,18,15,17,31,5,3,6,8,1,3,2,2,6,3,10,8,32,27,41,42,7,18,26-45,20,33-45,9,9,15-18,11,15-27,0,28,0,39,,55-83
E2023_016,OLY-BAR,2,REGULAR SEASON,E2023,OLY,BAR,4,9,29,18,10,6,16,7,10,25,10,2,10,8,10,1,7,0,10,7,14,6,51,17,45,32,10,26,44-50,28,54-50,14,36,66-59,40,66-73,7,15,36,14,66-59,20-35
