team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
ARI,ARI,,,,,-0.4,-6.1,79.7,70.5
ARI,BAS,0.0,1.0,1.0,0.0,,,,
ARI,CIB,1.0,0.0,1.0,1.0,,,,
ARI,IST,1.0,0.0,1.0,1.0,,,,
ARI,LEM,1.0,0.0,1.0,1.0,,,,
ARI,LIE,1.0,1.0,2.0,0.0,,,,
ARI,MAL,1.0,0.0,1.0,1.0,,,,
ARI,MIL,0.0,1.0,1.0,0.0,,,,
ARI,TEL,0.0,1.0,1.0,0.0,,,,
ARI,ULK,0.0,1.0,1.0,0.0,,,,
ASV,ASV,,,,,-3.1954022988505746,-9.68235294117647,77.59770114942529,72.4
ASV,BAR,2.0,3.0,5.0,0.0,,,,
ASV,BAS,3.0,2.0,5.0,1.0,,,,
ASV,BER,1.0,4.0,5.0,0.0,,,,
ASV,CIB,1.0,0.0,1.0,1.0,,,,
ASV,CSK,2.0,1.0,3.0,1.0,,,,
ASV,DYR,0.0,2.0,2.0,0.0,,,,
ASV,IST,2.0,3.0,5.0,0.0,,,,
ASV,KHI,2.0,0.0,2.0,1.0,,,,
ASV,MAD,0.0,5.0,5.0,0.0,,,,
ASV,MCO,0.0,3.0,3.0,0.0,,,,
ASV,MIL,3.0,2.0,5.0,1.0,,,,
ASV,MUN,2.0,3.0,5.0,0.0,,,,
ASV,OLY,2.0,3.0,5.0,0.0,,,,
ASV,PAM,2.0,2.0,4.0,0.0,,,,
ASV,PAN,2.0,3.0,5.0,0.0,,,,
ASV,PAR,1.0,1.0,2.0,0.0,,,,
ASV,RED,2.0,3.0,5.0,0.0,,,,
ASV,SIE,0.0,1.0,1.0,0.0,,,,
ASV,TEL,1.0,3.0,4.0,0.0,,,,
ASV,ULK,2.0,4.0,6.0,0.0,,,,
ASV,UNK,1.0,0.0,1.0,1.0,,,,
ASV,VIR,0.0,2.0,2.0,0.0,,,,
ASV,ZAL,3.0,3.0,6.0,0.0,,,,
AVE,AVE,,,,,-3.4,-8.6,74.0,76.8
AVE,CIB,1.0,0.0,1.0,1.0,,,,
AVE,LEM,1.0,0.0,1.0,1.0,,,,
AVE,MAL,1.0,0.0,1.0,1.0,,,,
AVE,OLY,0.0,1.0,1.0,0.0,,,,
AVE,TEL,0.0,1.0,1.0,0.0,,,,
BAM,BAM,,,,,0.2894736842105263,-8.223684210526315,78.48684210526316,72.10526315789474
BAM,BAR,3.0,2.0,5.0,1.0,,,,
BAM,BAS,2.0,1.0,3.0,1.0,,,,
BAM,BER,0.0,1.0,1.0,0.0,,,,
