game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_4_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b,score_extra_time_4_b
E2023_001,RED-ASV,2023-10-05,19:00:00,1,REGULAR SEASON,E2023,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,RED,ASV,"IVANOVIC, DUSKO","PARKER, TJ",40:00,00:00,"ROCHA, FERNANDO","PATERNICO, CARMELO","PASTUSIAK, PIOTR",STARK ARENA,18360,80,21,14,2,4,29,52,69,94,18,31,55,73,,,,,,,,
E2023_002,BAR-IST,2023-10-05,20:30:00,1,REGULAR SEASON,E2023,91,74,FC BARCELONA,ANADOLU EFES ISTANBUL,BAR,IST,"GRIMAU, ROGER","CAN, ERDEM",40:00,00:00,"RADOVIC, SRETEN","DIFALLAH, MEHDI","JOVCIC, MILIVOJE",PALAU BLAUGRANA,5577,80,15,15,2,4,22,40,69,91,19,34,64,74,,,,,,,,
E2023_003,MUN-BER,2023-10-05,20:30:00,1,REGULAR SEASON,E2023,80,68,FC BAYERN MUNICH,ALBA BERLIN,MUN,BER,"LASO, PABLO","GONZALEZ, ISRAEL",40:00,00:00,"GARCIA, JUAN CARLOS","LATISEVS, OLEGS","SUKYS, ARTURAS",BMW PARK,6057,80,21,17,2,3,19,36,61,80,17,44,51,68,,,,,,,,
E2023_004,TEL-PAR,2023-10-05,20:05:00,1,REGULAR SEASON,E2023,96,81,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,TEL,PAR,"KATTASH, ODED","OBRADOVIC, ZELJKO",40:00,00:00,"PEREZ, MIGUEL ANGEL","VILIUS, GYTIS","KARDUM, LUKA",MENORA MIVTACHIM ARENA,10559,80,19,18,2,5,27,55,74,96,16,43,58,81,,,,,,,,
E2023_005,VIR-ZAL,2023-10-05,20:30:00,1,REGULAR SEASON,E2023,79,82,VIRTUS SEGAFREDO BOLOGNA,ZALGIRIS KAUNAS,VIR,ZAL,"BANCHI, LUCA","MAKSVYTIS, KAZYS",40:00,00:00,"BOLTAUZER, MATEJ","PANTHER, ANNE","SILVA, SERGIO",PALADOZZA,4827,80,18,19,5,5,23,42,65,79,15,37,58,82,,,,,,,,
E2023_006,ULK-MIL,2023-10-06,19:45:00,1,REGULAR SEASON,E2023,85,82,FENERBAHCE BEKO ISTANBUL,EA7 EMPORIO ARMANI MILAN,ULK,MIL,"ITOUDIS, DIMITRIS","MESSINA, ETTORE",45:00,00:00,"PUKL,SASA","PERUGA, CARLOS","NIKOLIC, UROS",ULKER SPORTS AND EVENT HALL,10211,90,23,16,4,5,19,38,62,76,23,35,54,76,85.0,,,,82.0,,,
E2023_007,PAN-OLY,2023-10-06,20:15:00,1,REGULAR SEASON,E2023,78,88,PANATHINAIKOS ATHENS,OLYMPIACOS PIRAEUS,PAN,OLY,"ATAMAN, ERGIN","BARTZOKAS, GEORGIOS",45:00,00:00,"LOTTERMOSER, ROBERT","PEREZ, EMILIO","NEDOVIC, MILAN",OAKA Altion,17810,90,17,20,4,4,22,43,59,74,23,36,52,74,78.0,,,,88.0,,,
E2023_008,BAS-MAD,2023-10-06,20:30:00,1,REGULAR SEASON,E2023,77,79,BASKONIA VITORIA-GASTEIZ,REAL MADRID,BAS,MAD,"PENARROYA, JOAN","MATEO, CHUS",40:00,00:00,"BELOSEVIC, ILIJA","MOGULKOC, EMIN","RACYS, SAULIUS",BUESA ARENA,14017,80,15,23,4,4,23,47,67,77,19,43,62,79,,,,,,,,
E2023_009,PAM-MCO,2023-10-06,20:30:00,1,REGULAR SEASON,E2023,70,65,VALENCIA BASKET,AS MONACO,PAM,MCO,"MUMBRU, ALEX","OBRADOVIC, SASA",40:00,00:00,"JAVOR, DAMIR","HORDOV, TOMISLAV","PEERANDI, RAIN",PABELLON FUENTE DE SAN LUIS,6927,80,22,20,4,5,17,39,53,70,20,38,51,65,,,,,,,,
E2023_010,BER-BAS,2023-10-12,20:00:00,2,REGULAR SEASON,E2023,86,91,ALBA BERLIN,BASKONIA VITORIA-GASTEIZ,BER,BAS,"GONZALEZ, ISRAEL","PENARROYA, JOAN",40:00,00:00,"ROCHA, FERNANDO","KOLJENSIC, MILOS","TRAWICKI, TOMASZ",MERCEDES-BENZ ARENA,7766,80,19,17,5,4,21,47,61,86,25,51,76,91,,,,,,,,
