season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2023_P003733_MAD,E2023,P003733,"ABALDE, ALBERTO",MAD,24.0,9.0,308.0,86,11,22,19,46,7,8,6,39,45,16,10,5,1,2,25,10,97,46,12.83,3.58,0.46,0.92,0.5,0.79,1.92,0.413,0.29,0.33,0.875,0.25,1.62,1.88,0.67,0.42,0.21,0.04,0.08,1.04,0.42,4.04,1.92
E2023_P003527_VIR,E2023,P003527,"ABASS, AWUDU",VIR,31.0,2.0,398.6,136,25,43,25,79,11,13,18,34,52,13,12,6,3,4,33,11,110,-89,12.86,4.39,0.81,1.39,0.581,0.81,2.55,0.316,0.35,0.42,0.846,0.58,1.1,1.68,0.42,0.39,0.19,0.1,0.13,1.06,0.35,3.55,-2.87
E2023_P012298_OLY,E2023,P012298,"ABOSI, VENIAMIN",OLY,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2023_P003478_BAR,E2023,P003478,"ABRINES, ALEX",BAR,27.0,3.0,467.6,187,20,32,43,96,18,21,16,38,54,13,13,18,8,0,57,46,178,35,17.32,6.93,0.74,1.19,0.625,1.59,3.56,0.448,0.67,0.78,0.857,0.59,1.41,2.0,0.48,0.48,0.67,0.3,0.0,2.11,1.7,6.59,1.3
E2023_P010623_MAD,E2023,P010623,"ALOCEN, CARLOS",MAD,12.0,3.0,105.6,18,6,21,1,11,3,5,1,15,16,17,2,8,1,2,12,13,18,5,8.8,1.5,0.5,1.75,0.286,0.08,0.92,0.091,0.25,0.42,0.6,0.08,1.25,1.33,1.42,0.17,0.67,0.08,0.17,1.0,1.08,1.5,0.42
E2023_P012417_IST,E2023,P012417,"ALTUNTAS, SALIH",IST,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2023_P012795_PAM,E2023,P012795,"ANDERSON, JUSTIN",PAM,18.0,11.0,335.5,110,28,49,15,45,9,13,6,33,39,11,8,15,4,7,37,11,69,-60,18.64,6.11,1.56,2.72,0.571,0.83,2.5,0.333,0.5,0.72,0.692,0.33,1.83,2.17,0.61,0.44,0.83,0.22,0.39,2.06,0.61,3.83,-3.33
E2023_P000956_PAR,E2023,P000956,"ANDUSIC, DANILO",PAR,28.0,3.0,366.7,140,22,50,20,50,36,38,6,27,33,18,7,16,3,4,32,45,134,56,13.1,5.0,0.79,1.79,0.44,0.71,1.79,0.4,1.29,1.36,0.947,0.21,0.96,1.18,0.64,0.25,0.57,0.11,0.14,1.14,1.61,4.79,2.0
E2023_P011221_PAN,E2023,P011221,"ANTETOKOUNMPO, KOSTAS",PAN,31.0,3.0,224.4,80,31,49,0,0,18,46,23,30,53,5,8,15,22,3,50,49,103,15,7.24,2.58,1.0,1.58,0.633,0.0,0.0,0.0,0.58,1.48,0.391,0.74,0.97,1.71,0.16,0.26,0.48,0.71,0.1,1.61,1.58,3.32,0.48
E2023_P003983_PAR,E2023,P003983,"AVRAMOVIC, ALEKSA",PAR,24.0,6.0,446.7,245,68,101,26,88,31,40,8,34,42,44,17,32,4,6,43,43,210,47,18.61,10.21,2.83,4.21,0.673,1.08,3.67,0.295,1.29,1.67,0.775,0.33,1.42,1.75,1.83,0.71,1.33,0.17,0.25,1.79,1.79,8.75,1.96
