team,probabilidadganar,seguidores,coste_por_seguidor,valor_esperado_patrocinio
ALBA Berlin,47.7,66848,14.96,477000.0
AS Monaco,35.1,87298,11.46,351000.0
Anadolu Efes Istanbul,65.8,256298,3.9,658000.0
Baskonia Vitoria-Gasteiz,79.0,96270,10.39,790000.0
Crvena Zvezda Meridianbet Belgrade,41.6,360021,2.78,416000.0
EA7 Emporio Armani Milan,56.5,162826,6.14,565000.0
FC Barcelona,75.8,1318726,0.76,758000.0
FC Bayern Munich,43.4,331768,3.01,434000.0
Fenerbahce Beko Istanbul,80.5,1384889,0.72,805000.0
LDLC ASVEL Villeurbanne,34.0,92717,10.79,340000.0
Maccabi Playtika Tel Aviv,87.5,138237,7.23,875000.0
Olympiacos Piraeus,74.7,342933,2.92,747000.0
Panathinaikos Athens,74.0,590806,1.69,740000.0
Partizan Mozzart Bet Belgrade,50.5,416329,2.4,505000.0
Real Madrid,78.2,4982982,0.2,782000.0
Valencia Basket,35.4,118974,8.41,354000.0
Virtus Segafredo Bologna,34.6,109403,9.14,346000.0
Zalgiris Kaunas,59.1,183015,5.46,591000.0
