season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
E2023_ASV,E2023,ASV,34.0,1370.0,2674,744,1388,244,723,454,587,350,805,1155,606,205,441,55,112,626,658,2918,40.29,78.65,21.88,40.82,0.536,7.18,21.26,0.337,13.35,17.26,0.773,10.29,23.68,33.97,17.82,6.03,12.97,1.62,3.29,18.41,19.35,85.82
E2023_BAR,E2023,BAR,39.0,1565.0,3163,856,1568,328,912,467,643,450,948,1398,753,250,499,89,75,774,739,3572,40.13,81.1,21.95,40.21,0.546,8.41,23.38,0.36,11.97,16.49,0.726,11.54,24.31,35.85,19.31,6.41,12.79,2.28,1.92,19.85,18.95,91.59
E2023_BAS,E2023,BAS,39.0,1565.0,3300,752,1351,424,1143,524,688,409,955,1364,740,215,486,86,132,709,733,3629,40.13,84.62,19.28,34.64,0.557,10.87,29.31,0.371,13.44,17.64,0.762,10.49,24.49,34.97,18.97,5.51,12.46,2.21,3.38,18.18,18.79,93.05
E2023_BER,E2023,BER,34.0,1360.0,2591,641,1260,302,860,403,509,368,735,1103,559,238,513,73,119,623,618,2644,40.0,76.21,18.85,37.06,0.509,8.88,25.29,0.351,11.85,14.97,0.792,10.82,21.62,32.44,16.44,7.0,15.09,2.15,3.5,18.32,18.18,77.76
E2023_IST,E2023,IST,35.0,1425.0,2992,747,1346,348,940,454,559,360,779,1139,617,246,362,110,75,641,648,3378,40.71,85.49,21.34,38.46,0.555,9.94,26.86,0.37,12.97,15.97,0.812,10.29,22.26,32.54,17.63,7.03,10.34,3.14,2.14,18.31,18.51,96.51
E2023_MAD,E2023,MAD,39.0,1590.0,3459,820,1414,407,1076,598,734,383,1038,1421,803,254,469,141,61,737,783,4195,40.77,88.69,21.03,36.26,0.58,10.44,27.59,0.378,15.33,18.82,0.815,9.82,26.62,36.44,20.59,6.51,12.03,3.62,1.56,18.9,20.08,107.56
E2023_MCO,E2023,MCO,39.0,1575.0,3189,849,1601,305,872,576,770,430,891,1321,626,268,389,71,86,765,841,3563,40.38,81.77,21.77,41.05,0.53,7.82,22.36,0.35,14.77,19.74,0.748,11.03,22.85,33.87,16.05,6.87,9.97,1.82,2.21,19.62,21.56,91.36
E2023_MIL,E2023,MIL,34.0,1370.0,2659,615,1116,341,930,406,523,302,790,1092,554,238,423,72,59,665,645,2906,40.29,78.21,18.09,32.82,0.551,10.03,27.35,0.367,11.94,15.38,0.776,8.88,23.24,32.12,16.29,7.0,12.44,2.12,1.74,19.56,18.97,85.47
E2023_MUN,E2023,MUN,34.0,1385.0,2674,649,1215,336,938,368,461,364,840,1204,547,206,443,89,84,702,639,2869,40.74,78.65,19.09,35.74,0.534,9.88,27.59,0.358,10.82,13.56,0.798,10.71,24.71,35.41,16.09,6.06,13.03,2.62,2.47,20.65,18.79,84.38
E2023_OLY,E2023,OLY,41.0,1660.0,3229,772,1396,387,1030,524,718,397,964,1361,780,294,498,107,99,776,804,3741,40.49,78.76,18.83,34.05,0.553,9.44,25.12,0.376,12.78,17.51,0.73,9.68,23.51,33.2,19.02,7.17,12.15,2.61,2.41,18.93,19.61,91.24
