team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance
ARI,BAS,0,1,1,0
ARI,CIB,1,0,1,1
ARI,IST,1,0,1,1
ARI,LEM,1,0,1,1
ARI,LIE,1,1,2,0
ARI,MAL,1,0,1,1
ARI,MIL,0,1,1,0
ARI,TEL,0,1,1,0
ARI,ULK,0,1,1,0
ASV,BAR,2,3,5,0
ASV,BAS,3,2,5,1
ASV,BER,1,4,5,0
ASV,CIB,1,0,1,1
ASV,CSK,2,1,3,1
ASV,DYR,0,2,2,0
ASV,IST,2,3,5,0
ASV,KHI,2,0,2,1
ASV,MAD,0,5,5,0
ASV,MCO,0,3,3,0
ASV,MIL,3,2,5,1
ASV,MUN,2,3,5,0
ASV,OLY,2,3,5,0
ASV,PAM,2,2,4,0
ASV,PAN,2,3,5,0
ASV,PAR,1,1,2,0
ASV,RED,2,3,5,0
ASV,SIE,0,1,1,0
ASV,TEL,1,3,4,0
ASV,ULK,2,4,6,0
ASV,UNK,1,0,1,1
ASV,VIR,0,2,2,0
ASV,ZAL,3,3,6,0
AVE,CIB,1,0,1,1
AVE,LEM,1,0,1,1
AVE,MAL,1,0,1,1
AVE,OLY,0,1,1,0
AVE,TEL,0,1,1,0
BAM,BAR,3,2,5,1
BAM,BAS,2,1,3,1
BAM,BER,0,1,1,0
BAM,BES,0,1,1,0
BAM,CHA,1,0,1,1
BAM,CSK,1,6,7,0
BAM,DAR,1,1,2,0
BAM,GAL,0,1,1,0
BAM,IST,3,1,4,1
BAM,KHI,1,1,2,0
BAM,LIE,1,0,1,1
BAM,MAD,1,6,7,0
BAM,MAL,2,3,5,0
BAM,MIL,1,2,3,0
BAM,OLY,4,0,4,1
BAM,PAM,1,0,1,1
BAM,PAN,2,3,5,0
BAM,PAR,2,0,2,1
BAM,RED,1,1,2,0
BAM,ROA,0,1,1,0
BAM,ROM,0,2,2,0
BAM,SAS,1,0,1,1
BAM,STR,1,0,1,1
BAM,TEL,2,1,3,1
BAM,ULK,1,2,3,0
BAM,UNK,1,0,1,1
BAM,ZAG,1,0,1,1
BAM,ZAL,2,4,6,0
BAR,ASV,4,2,6,1
BAR,BAM,5,0,5,1
BAR,BAS,8,5,13,1
BAR,BER,7,0,7,1
BAR,BES,2,0,2,1
BAR,BUD,1,0,1,1
BAR,CAN,1,0,1,1
BAR,CHO,1,0,1,1
BAR,CIB,2,0,2,1
BAR,CSK,8,5,13,1
BAR,CTU,1,0,1,1
BAR,DAR,2,0,2,1
BAR,DYR,5,1,6,1
BAR,GAL,4,1,5,1
BAR,GSS,1,0,1,1
BAR,IST,6,6,12,0
BAR,KHI,5,0,5,1
BAR,KSK,1,0,1,1
BAR,LIE,2,0,2,1
BAR,LJU,2,0,2,1
BAR,MAD,10,7,17,1
BAR,MAL,2,1,3,1
BAR,MAR,1,0,1,1
BAR,MCO,2,1,3,1
BAR,MIL,8,3,11,1
BAR,MUN,8,2,10,1
BAR,NAN,1,0,1,1
BAR,NIK,1,0,1,1
BAR,NTR,0,1,1,0
BAR,OLY,11,7,18,1
BAR,PAM,5,0,5,1
BAR,PAN,17,3,20,1
BAR,PAR,6,0,6,1
BAR,RED,8,0,8,1
BAR,ROA,1,0,1,1
BAR,ROM,2,1,3,1
BAR,SIE,5,0,5,1
BAR,SOP,2,0,2,1
BAR,TEL,12,2,14,1
BAR,TIV,2,1,3,1
BAR,ULK,10,5,15,1
BAR,UNK,5,0,5,1
BAR,VIR,1,1,2,0
BAR,ZAL,13,2,15,1
BAR,ZGO,1,0,1,1
BAS,ARI,1,0,1,1
BAS,ASV,4,1,5,1
BAS,BAM,3,0,3,1
BAS,BAR,7,6,13,1
BAS,BER,5,1,6,1
BAS,BES,1,0,1,1
BAS,BIL,0,1,1,0
BAS,BUD,1,0,1,1
BAS,CAN,1,0,1,1
BAS,CED,2,0,2,1
BAS,CIB,1,0,1,1
BAS,CSK,7,11,18,0
BAS,CTU,1,0,1,1
BAS,DAR,2,0,2,1
BAS,DYR,1,2,3,0
BAS,GAL,2,0,2,1
BAS,IST,4,8,12,0
BAS,JOV,1,0,1,1
BAS,KHI,6,2,8,1
BAS,KLA,1,0,1,1
BAS,LIE,2,1,3,1
BAS,LJU,3,0,3,1
BAS,LMG,1,0,1,1
BAS,MAD,5,5,10,0
BAS,MAL,3,1,4,1
BAS,MAR,1,0,1,1
BAS,MCO,1,2,3,0
BAS,MIL,9,3,12,1
BAS,MUN,4,2,6,1
BAS,NAN,1,0,1,1
BAS,NOV,1,0,1,1
BAS,OLY,10,9,19,1
BAS,PAM,3,2,5,1
BAS,PAN,10,2,12,1
BAS,PAR,5,0,5,1
BAS,RED,6,3,9,1
BAS,ROM,1,1,2,0
BAS,SIE,2,0,2,1
BAS,SOP,2,1,3,1
BAS,TEL,9,5,14,1
BAS,TIV,1,1,2,0
BAS,ULK,12,4,16,1
BAS,UNK,1,0,1,1
BAS,VIR,3,1,4,1
BAS,ZAL,7,5,12,1
BER,ASV,2,2,4,0
BER,BAM,1,0,1,1
BER,BAR,2,5,7,0
BER,BAS,3,3,6,0
BER,CED,0,1,1,0
BER,CHL,1,0,1,1
BER,CSK,0,5,5,0
BER,DYR,2,1,3,1
BER,GAL,1,0,1,1
BER,IST,1,5,6,0
BER,JOV,1,0,1,1
BER,KHI,1,0,1,1
BER,LJU,0,1,1,0
BER,LMG,1,0,1,1
BER,MAD,0,8,8,0
BER,MAL,1,2,3,0
BER,MCO,1,2,3,0
BER,MIL,3,2,5,1
BER,MUN,0,5,5,0
BER,OLY,1,4,5,0
BER,PAM,0,3,3,0
BER,PAN,3,3,6,0
BER,PAR,1,1,2,0
BER,RED,5,1,6,1
BER,ROM,1,0,1,1
BER,SIE,0,1,1,0
BER,SOP,1,0,1,1
BER,TEL,1,8,9,0
BER,ULK,3,3,6,0
BER,UNK,1,0,1,1
BER,VIR,0,2,2,0
BER,ZAL,5,2,7,1
BES,BAM,1,0,1,1
BES,BAR,0,2,2,0
BES,BAS,0,1,1,0
BES,CSK,0,1,1,0
BES,KHI,0,1,1,0
BES,LIE,1,0,1,1
BES,OLY,0,1,1,0
BES,PAR,1,0,1,1
BES,SIE,1,0,1,1
BES,TEL,0,1,1,0
BES,ULK,1,0,1,1
BIL,BAS,1,0,1,1
BIL,CSK,1,1,2,0
BIL,CTU,0,1,1,0
BIL,MAD,1,0,1,1
BIL,MAL,1,0,1,1
BIL,NAN,1,0,1,1
BIL,OLY,1,0,1,1
BIL,SIE,1,0,1,1
BIL,ULK,0,1,1,0
BUD,BAR,1,0,1,1
BUD,BAS,1,0,1,1
BUD,CAN,1,0,1,1
BUD,CSK,1,0,1,1
BUD,DAR,1,0,1,1
BUD,IST,0,1,1,0
BUD,KHI,0,1,1,0
BUD,MAD,1,0,1,1
BUD,MIL,0,1,1,0
BUD,MUN,0,1,1,0
BUD,OLY,0,1,1,0
BUD,PAN,0,1,1,0
BUD,TEL,0,1,1,0
BUD,ULK,0,1,1,0
BUD,ZAL,0,1,1,0
CAN,BAR,1,0,1,1
CAN,BAS,0,1,1,0
CAN,BUD,1,0,1,1
CAN,CSK,0,1,1,0
CAN,DAR,1,0,1,1
CAN,IST,0,1,1,0
CAN,KHI,0,1,1,0
CAN,MAD,0,1,1,0
CAN,MIL,0,1,1,0
CAN,MUN,0,1,1,0
CAN,OLY,1,0,1,1
CAN,PAN,0,1,1,0
CAN,TEL,1,0,1,1
CAN,ULK,0,1,1,0
CAN,ZAL,1,0,1,1
CED,BAS,2,0,2,1
CED,BER,0,1,1,0
CED,CSK,0,1,1,0
CED,DAR,0,1,1,0
CED,IST,1,2,3,0
CED,LMG,1,1,2,0
CED,MAL,0,2,2,0
CED,MIL,0,2,2,0
CED,OLY,0,2,2,0
CED,PAN,0,1,1,0
CED,RED,1,0,1,1
CED,TEL,0,1,1,0
CED,TIV,0,1,1,0
CED,ULK,1,0,1,1
CED,ZAL,1,0,1,1
CHA,BAM,1,0,1,1
CHA,IST,0,1,1,0
CHA,MAD,1,1,2,0
CHA,MAL,1,0,1,1
CHA,MIL,0,1,1,0
CHA,OLY,0,1,1,0
CHA,PAR,1,0,1,1
CHA,ROM,0,1,1,0
CHA,TEL,0,1,1,0
CHL,BER,0,1,1,0
CHL,MAL,0,1,1,0
CHL,SIE,1,0,1,1
CHL,SOP,1,0,1,1
CHL,TEL,0,1,1,0
CHO,BAR,0,1,1,0
CHO,CIB,1,0,1,1
CHO,LIE,1,0,1,1
CHO,SIE,0,1,1,0
CHO,ULK,1,0,1,1
CIB,ARI,0,1,1,0
CIB,ASV,1,0,1,1
CIB,AVE,1,0,1,1
CIB,BAR,0,2,2,0
CIB,BAS,0,1,1,0
CIB,CHO,0,1,1,0
CIB,CSK,0,1,1,0
CIB,IST,1,0,1,1
CIB,KHI,1,0,1,1
CIB,LEM,2,0,2,1
CIB,LIE,0,2,2,0
CIB,MAL,0,2,2,0
CIB,MIL,1,0,1,1
CIB,OLY,1,1,2,0
CIB,SIE,1,2,3,0
CIB,TEL,1,1,2,0
CIB,ULK,1,2,3,0
CIB,ZAL,1,0,1,1
CSK,ASV,2,0,2,1
CSK,BAM,7,0,7,1
CSK,BAR,7,3,10,1
CSK,BAS,16,1,17,1
CSK,BER,3,1,4,1
CSK,BES,1,0,1,1
CSK,BIL,2,0,2,1
CSK,BUD,1,0,1,1
CSK,CAN,1,0,1,1
CSK,CED,1,0,1,1
CSK,CIB,1,0,1,1
CSK,DAR,3,0,3,1
CSK,DYR,3,0,3,1
CSK,GAL,3,0,3,1
CSK,IST,9,3,12,1
CSK,KHI,7,0,7,1
CSK,LIE,1,0,1,1
CSK,LJU,3,0,3,1
CSK,LMG,1,0,1,1
CSK,MAD,9,2,11,1
CSK,MAL,6,2,8,1
CSK,MAR,1,0,1,1
CSK,MIL,6,3,9,1
CSK,MUN,4,1,5,1
CSK,NIK,1,0,1,1
CSK,NIO,1,0,1,1
CSK,NOV,1,0,1,1
CSK,NTR,1,0,1,1
CSK,OLY,10,6,16,1
CSK,PAM,4,0,4,1
CSK,PAN,12,3,15,1
CSK,PAR,6,1,7,1
CSK,RED,7,0,7,1
CSK,ROM,1,1,2,0
CSK,SAS,1,0,1,1
CSK,SIE,2,0,2,1
CSK,SOP,2,0,2,1
CSK,TEL,8,2,10,1
CSK,TIV,2,0,2,1
CSK,ULK,5,6,11,0
CSK,UNK,1,1,2,0
CSK,VIR,1,0,1,1
CSK,ZAG,1,0,1,1
CSK,ZAL,11,1,12,1
CTU,BAR,0,1,1,0
CTU,BAS,1,0,1,1
CTU,BIL,1,0,1,1
CTU,KHI,1,0,1,1
CTU,LJU,0,1,1,0
CTU,MAD,1,0,1,1
CTU,NAN,1,0,1,1
CTU,OLY,1,0,1,1
CTU,PAN,0,1,1,0
CTU,TEL,1,0,1,1
CTU,ULK,1,1,2,0
CTU,ZAL,1,0,1,1
DAR,BAM,1,1,2,0
DAR,BAR,1,1,2,0
DAR,BAS,2,0,2,1
DAR,BUD,1,0,1,1
DAR,CAN,0,1,1,0
DAR,CED,0,1,1,0
DAR,CSK,1,2,3,0
DAR,GAL,1,0,1,1
DAR,IST,0,3,3,0
DAR,KHI,1,0,1,1
DAR,MAD,1,3,4,0
DAR,MAL,2,0,2,1
DAR,MIL,0,2,2,0
DAR,MUN,1,0,1,1
DAR,OLY,1,1,2,0
DAR,PAN,1,2,3,0
DAR,RED,2,0,2,1
DAR,SAS,1,0,1,1
DAR,TEL,1,2,3,0
DAR,TIV,1,0,1,1
DAR,ULK,1,2,3,0
DAR,UNK,1,0,1,1
DAR,ZAL,0,2,2,0
DYR,ASV,2,0,2,1
DYR,BAR,2,2,4,0
DYR,BAS,2,1,3,1
DYR,BER,2,1,3,1
DYR,CSK,0,2,2,0
DYR,IST,2,0,2,1
DYR,KHI,0,2,2,0
DYR,MAD,0,3,3,0
DYR,MCO,0,1,1,0
DYR,MIL,2,0,2,1
DYR,MUN,2,1,3,1
DYR,OLY,2,1,3,1
DYR,PAM,0,2,2,0
DYR,PAN,1,1,2,0
DYR,RED,1,2,3,0
DYR,TEL,2,1,3,1
DYR,ULK,0,3,3,0
DYR,ZAL,2,0,2,1
GAL,BAM,0,1,1,0
GAL,BAR,1,3,4,0
GAL,BAS,0,2,2,0
GAL,BER,0,1,1,0
GAL,CSK,1,2,3,0
GAL,DAR,1,0,1,1
GAL,GSS,1,0,1,1
GAL,IST,1,1,2,0
GAL,KLA,1,0,1,1
GAL,LJU,1,0,1,1
GAL,MAD,1,2,3,0
GAL,MAL,1,0,1,1
GAL,MIL,1,0,1,1
GAL,MUN,2,0,2,1
GAL,OLY,3,1,4,1
GAL,PAM,1,0,1,1
GAL,PAN,0,2,2,0
GAL,PAR,1,0,1,1
GAL,RED,1,2,3,0
GAL,SIE,1,1,2,0
GAL,SOP,1,0,1,1
GAL,TEL,1,2,3,0
GAL,TIV,0,1,1,0
GAL,ULK,0,1,1,0
GAL,UNK,1,1,2,0
GAL,ZAL,3,0,3,1
GSS,BAR,0,1,1,0
GSS,GAL,0,1,1,0
GSS,KSK,0,1,1,0
GSS,MAL,0,1,1,0
GSS,MUN,0,1,1,0
GSS,OLY,0,1,1,0
GSS,PAN,1,0,1,1
GSS,SIE,1,0,1,1
GSS,TIV,0,1,1,0
GSS,ZAL,0,1,1,0
IST,ARI,0,1,1,0
IST,ASV,5,0,5,1
IST,BAM,2,2,4,0
IST,BAR,7,5,12,1
IST,BAS,4,7,11,0
IST,BER,6,0,6,1
IST,BUD,1,0,1,1
IST,CAN,1,0,1,1
IST,CED,2,1,3,1
IST,CHA,0,1,1,0
IST,CIB,1,0,1,1
IST,CSK,3,9,12,0
IST,DAR,3,0,3,1
IST,DYR,1,2,3,0
IST,GAL,2,0,2,1
IST,KHI,3,1,4,1
IST,LEM,1,0,1,1
IST,LIE,2,0,2,1
IST,LJU,1,0,1,1
IST,LMG,1,0,1,1
IST,MAD,9,11,20,0
IST,MAL,3,4,7,0
IST,MCO,2,1,3,1
IST,MIL,17,2,19,1
IST,MUN,4,2,6,1
IST,NIO,0,1,1,0
IST,NOV,1,1,2,0
IST,OLY,12,6,18,1
IST,ORL,1,0,1,1
IST,PAM,4,1,5,1
IST,PAN,10,2,12,1
IST,PAR,4,3,7,1
IST,RED,8,0,8,1
IST,SAS,1,0,1,1
IST,SIE,2,1,3,1
IST,STR,1,0,1,1
IST,TEL,7,4,11,1
IST,TIV,0,1,1,0
IST,ULK,3,7,10,0
IST,UNK,3,0,3,1
IST,VIR,2,1,3,1
IST,ZAL,7,5,12,1
JOV,BAS,1,0,1,1
JOV,BER,0,1,1,0
JOV,LJU,1,0,1,1
JOV,ROM,1,0,1,1
JOV,ULK,0,1,1,0
KHI,ASV,2,0,2,1
KHI,BAM,2,0,2,1
KHI,BAR,2,4,6,0
KHI,BAS,4,4,8,0
KHI,BER,1,1,2,0
KHI,BES,1,0,1,1
KHI,BUD,1,0,1,1
KHI,CAN,1,0,1,1
KHI,CIB,1,0,1,1
KHI,CSK,2,5,7,0
KHI,CTU,1,0,1,1
KHI,DAR,1,0,1,1
KHI,DYR,0,2,2,0
KHI,IST,1,1,2,0
KHI,LJU,1,0,1,1
KHI,MAD,5,3,8,1
KHI,MAL,1,0,1,1
KHI,MIL,2,3,5,0
KHI,MUN,0,3,3,0
KHI,OLD,1,0,1,1
KHI,OLY,3,3,6,0
KHI,PAM,1,2,3,0
KHI,PAN,4,2,6,1
KHI,PAR,1,0,1,1
KHI,RED,4,0,4,1
KHI,SIE,1,0,1,1
KHI,SOP,2,0,2,1
KHI,STR,1,0,1,1
KHI,TEL,2,4,6,0
KHI,ULK,4,3,7,1
KHI,ZAL,5,1,6,1
KLA,BAS,1,0,1,1
KLA,GAL,1,0,1,1
KLA,OLY,0,1,1,0
KLA,PAM,1,0,1,1
KLA,RED,1,0,1,1
KSK,BAR,1,0,1,1
KSK,GSS,1,0,1,1
KSK,PAN,0,1,1,0
KSK,TIV,0,1,1,0
KSK,ZAL,0,1,1,0
LEM,ARI,0,1,1,0
LEM,AVE,1,0,1,1
LEM,CIB,1,1,2,0
LEM,IST,0,1,1,0
LEM,LIE,0,1,1,0
LEM,MAL,0,2,2,0
LEM,MIL,0,1,1,0
LEM,OLY,0,1,1,0
LEM,TEL,0,2,2,0
LIE,ARI,2,0,2,1
LIE,BAM,1,0,1,1
LIE,BAR,1,1,2,0
LIE,BAS,0,3,3,0
LIE,BES,0,1,1,0
LIE,CHO,1,0,1,1
LIE,CIB,2,0,2,1
LIE,CSK,0,1,1,0
LIE,IST,1,1,2,0
LIE,LEM,1,0,1,1
LIE,MAL,2,1,3,1
LIE,MIL,1,0,1,1
LIE,OLY,0,1,1,0
LIE,ORL,1,0,1,1
LIE,PAN,1,1,2,0
LIE,PAR,2,0,2,1
LIE,RED,0,1,1,0
LIE,SIE,0,1,1,0
LIE,TEL,1,1,2,0
LIE,TIV,0,1,1,0
LIE,ULK,1,1,2,0
LJU,BAR,0,2,2,0
LJU,BAS,0,3,3,0
LJU,BER,1,0,1,1
LJU,CSK,2,1,3,1
LJU,CTU,1,0,1,1
LJU,GAL,0,1,1,0
LJU,IST,1,0,1,1
LJU,JOV,0,1,1,0
LJU,KHI,1,0,1,1
LJU,MAD,0,1,1,0
LJU,MAR,0,1,1,0
LJU,MIL,1,0,1,1
LJU,OLY,1,0,1,1
LJU,PAM,1,0,1,1
LJU,PAN,1,1,2,0
LJU,ROM,1,2,3,0
LJU,SIE,0,2,2,0
LJU,SOP,2,0,2,1
LJU,TEL,0,2,2,0
LJU,ULK,0,2,2,0
LJU,UNK,0,1,1,0
LJU,VIR,1,0,1,1
LJU,ZAL,0,1,1,0
LMG,BAS,0,1,1,0
LMG,BER,0,1,1,0
LMG,CED,1,1,2,0
LMG,CSK,0,1,1,0
LMG,IST,0,1,1,0
LMG,MAL,1,0,1,1
LMG,MIL,1,0,1,1
LMG,OLY,0,1,1,0
LMG,TEL,0,1,1,0
MAD,ASV,5,0,5,1
MAD,BAM,7,0,7,1
MAD,BAR,9,5,14,1
MAD,BAS,6,5,11,1
MAD,BER,8,0,8,1
MAD,BIL,1,0,1,1
MAD,BUD,1,0,1,1
MAD,CAN,1,0,1,1
MAD,CHA,2,0,2,1
MAD,CSK,6,5,11,1
MAD,CTU,1,0,1,1
MAD,DAR,3,1,4,1
MAD,DYR,2,0,2,1
MAD,GAL,3,0,3,1
MAD,IST,17,3,20,1
MAD,KHI,6,2,8,1
MAD,LJU,1,0,1,1
MAD,MAL,3,1,4,1
MAD,MCO,2,1,3,1
MAD,MIL,11,1,12,1
MAD,MUN,6,1,7,1
MAD,NIO,1,0,1,1
MAD,NOV,1,0,1,1
MAD,OLD,1,0,1,1
MAD,OLY,15,3,18,1
MAD,PAM,6,2,8,1
MAD,PAN,15,3,18,1
MAD,PAR,8,2,10,1
MAD,RED,6,2,8,1
MAD,ROA,1,0,1,1
MAD,ROM,2,0,2,1
MAD,SAS,1,0,1,1
MAD,SIE,1,3,4,0
MAD,SOP,1,0,1,1
MAD,STR,2,0,2,1
MAD,TEL,16,3,19,1
MAD,TIV,1,0,1,1
MAD,ULK,11,3,14,1
MAD,UNK,2,1,3,1
MAD,VIR,1,1,2,0
MAD,ZAL,14,1,15,1
MAL,ARI,1,0,1,1
MAL,AVE,1,0,1,1
MAL,BAM,2,3,5,0
MAL,BAR,2,1,3,1
MAL,BAS,1,3,4,0
MAL,BER,2,1,3,1
MAL,BIL,0,1,1,0
MAL,CED,2,0,2,1
MAL,CHA,1,0,1,1
MAL,CHL,1,0,1,1
MAL,CIB,2,0,2,1
MAL,CSK,1,7,8,0
MAL,DAR,2,0,2,1
MAL,GAL,1,0,1,1
MAL,GSS,1,0,1,1
MAL,IST,5,2,7,1
MAL,KHI,1,0,1,1
MAL,LEM,2,0,2,1
MAL,LIE,3,0,3,1
MAL,LMG,1,0,1,1
MAL,MAD,2,2,4,0
MAL,MIL,3,1,4,1
MAL,MUN,1,0,1,1
MAL,NOV,1,0,1,1
MAL,OLY,4,3,7,1
MAL,ORL,0,1,1,0
MAL,PAM,0,1,1,0
MAL,PAN,2,5,7,0
MAL,PAR,0,2,2,0
MAL,RED,1,1,2,0
MAL,ROM,3,0,3,1
MAL,SAS,1,0,1,1
MAL,SIE,1,2,3,0
MAL,SOP,1,1,2,0
MAL,TEL,4,2,6,1
MAL,TIV,0,1,1,0
MAL,ULK,3,1,4,1
MAL,ZAG,1,0,1,1
MAL,ZAL,2,2,4,0
MAR,BAR,0,1,1,0
MAR,BAS,0,1,1,0
MAR,CSK,0,1,1,0
MAR,LJU,1,0,1,1
MAR,PAN,1,0,1,1
MAR,PAR,1,0,1,1
MAR,ROM,0,1,1,0
MAR,TEL,1,0,1,1
MCO,ASV,2,1,3,1
MCO,BAR,2,2,4,0
MCO,BAS,3,0,3,1
MCO,BER,3,0,3,1
MCO,CSK,1,0,1,1
MCO,DYR,0,1,1,0
MCO,IST,2,1,3,1
MCO,MAD,1,2,3,0
MCO,MIL,1,2,3,0
MCO,MUN,3,0,3,1
MCO,OLY,4,1,5,1
MCO,PAM,2,0,2,1
MCO,PAN,2,1,3,1
MCO,PAR,1,1,2,0
MCO,RED,3,0,3,1
MCO,TEL,5,1,6,1
MCO,ULK,3,3,6,0
MCO,UNK,1,0,1,1
MCO,VIR,1,1,2,0
MCO,ZAL,2,1,3,1
MIL,ARI,1,0,1,1
MIL,ASV,3,1,4,1
MIL,BAM,2,1,3,1
MIL,BAR,6,4,10,1
MIL,BAS,10,3,13,1
MIL,BER,3,2,5,1
MIL,BUD,1,0,1,1
MIL,CAN,0,1,1,0
MIL,CED,1,1,2,0
MIL,CHA,1,0,1,1
MIL,CIB,0,1,1,0
MIL,CSK,4,5,9,0
MIL,DAR,2,0,2,1
